sentence_id,word_id,lemma,POS,text,sense,mFlag,isMWHead,MWid,universalPOS
a1e-fragment01_1,0,late,AJS,Latest,False,False,False,,ADJ
a1e-fragment01_1,1,corporate,AJ0,corporate,False,False,False,,ADJ
a1e-fragment01_1,2,unbundler,NN1,unbundler,False,False,False,,NOUN
a1e-fragment01_1,3,reveal,VVZ,reveals,True,False,False,,VERB
a1e-fragment01_1,4,laid-back,AJ0,laid-back,False,False,False,,ADJ
a1e-fragment01_1,5,approach,NN1,approach,True,False,False,,NOUN
a1e-fragment01_1,6,,PUN,:,False,False,False,,.
a1e-fragment01_1,7,roland,NP0,Roland,False,False,False,,NOUN
a1e-fragment01_1,8,franklin,NP0,Franklin,False,False,False,,NOUN
a1e-fragment01_1,9,,PUN,",",False,False,False,,.
a1e-fragment01_1,10,who,PNQ,who,False,False,False,,PRON
a1e-fragment01_1,11,be,VBZ,is,False,False,False,,VERB
a1e-fragment01_1,12,lead,VVG,leading,True,False,False,,VERB
a1e-fragment01_1,13,a,AT0,a,False,False,False,,DET
a1e-fragment01_1,14,697m,NN0,697m,False,False,False,,NOUN
a1e-fragment01_1,15,pound,NN1,pound,False,False,False,,NOUN
a1e-fragment01_1,16,break-up,NN1,break-up,False,False,False,,NOUN
a1e-fragment01_1,17,bid,NN1-VVB,bid,False,False,False,,NN1-VVB
a1e-fragment01_1,18,for,PRP,for,False,False,False,,ADP
a1e-fragment01_1,19,drg,NP0,DRG,False,False,False,,NOUN
a1e-fragment01_1,20,,PUN,",",False,False,False,,.
a1e-fragment01_1,21,talk,NN2-VVZ,talks,False,False,False,,NN2-VVZ
a1e-fragment01_1,22,to,PRP,to,True,False,False,,ADP
a1e-fragment01_1,23,frank,NP0,Frank,False,False,False,,NOUN
a1e-fragment01_1,24,kane,NP0,Kane,False,False,False,,NOUN
a1e-fragment01_2,0,by,PRP,By,False,False,False,,ADP
a1e-fragment01_2,1,frank,NP0,FRANK,False,False,False,,NOUN
a1e-fragment01_2,2,kane,NP0-NN1,KANE,False,False,False,,NOUN
a1e-fragment01_3,0,it,PNP,IT,False,False,False,,PRON
a1e-fragment01_3,1,seem,VVZ,SEEMS,False,False,False,,VERB
a1e-fragment01_3,2,that,CJT,that,False,False,False,,CONJ
a1e-fragment01_3,3,roland,NP0,Roland,False,False,False,,NOUN
a1e-fragment01_3,4,franklin,NP0,Franklin,False,False,False,,NOUN
a1e-fragment01_3,5,,PUN,",",False,False,False,,.
a1e-fragment01_3,6,the,AT0,the,False,False,False,,DET
a1e-fragment01_3,7,late,AJS,latest,False,False,False,,ADJ
a1e-fragment01_3,8,unbundler,NN1,unbundler,False,False,False,,NOUN
a1e-fragment01_3,9,to,TO0,to,False,False,False,,ADP
a1e-fragment01_3,10,appear,VVI,appear,False,False,False,,VERB
a1e-fragment01_3,11,in,PRP,in,False,False,False,,ADP
a1e-fragment01_3,12,the,AT0,the,False,False,False,,DET
a1e-fragment01_3,13,uk,NP0,UK,False,False,False,,NOUN
a1e-fragment01_3,14,,PUN,",",False,False,False,,.
a1e-fragment01_3,15,have,VHZ,has,False,False,False,,VERB
a1e-fragment01_3,16,make,VVN,made,True,False,False,,VERB
a1e-fragment01_3,17,a,AT0,a,False,False,False,,DET
a1e-fragment01_3,18,fatal,AJ0,fatal,True,False,False,,ADJ
a1e-fragment01_3,19,error,NN1,error,False,False,False,,NOUN
a1e-fragment01_3,20,in,PRP,in,True,False,False,,ADP
a1e-fragment01_3,21,the,AT0,the,False,False,False,,DET
a1e-fragment01_3,22,preparation,NN1,preparation,False,False,False,,NOUN
a1e-fragment01_3,23,of,PRF,of,False,False,False,,ADP
a1e-fragment01_3,24,he,DPS,his,False,False,False,,DET
a1e-fragment01_3,25,£697m,NN0,£697m,False,False,False,,NOUN
a1e-fragment01_3,26,break-up,NN1,break-up,False,False,False,,NOUN
a1e-fragment01_3,27,bid,NN1-VVB,bid,False,False,False,,NN1-VVB
a1e-fragment01_3,28,for,PRP,for,False,False,False,,ADP
a1e-fragment01_3,29,stationery,NN1,stationery,False,False,False,,NOUN
a1e-fragment01_3,30,and,CJC,and,False,False,False,,CONJ
a1e-fragment01_3,31,packaging,NN1,packaging,False,False,False,,NOUN
a1e-fragment01_3,32,group,NN1,group,False,False,False,,NOUN
a1e-fragment01_3,33,drg,NP0,DRG,False,False,False,,NOUN
a1e-fragment01_3,34,,PUN,.,False,False,False,,.
a1e-fragment01_4,0,he,PNP,He,False,False,False,,PRON
a1e-fragment01_4,1,have,VHZ,has,False,False,False,,VERB
a1e-fragment01_4,2,not,XX0,not,False,False,False,,PRT
a1e-fragment01_4,3,properly,AV0,properly,False,False,False,,ADV
a1e-fragment01_4,4,investigate,VVN,investigated,False,False,False,,VERB
a1e-fragment01_4,5,the,AT0,the,False,False,False,,DET
a1e-fragment01_4,6,target,NN1,target,True,False,False,,NOUN
a1e-fragment01_4,7,'s,POS,'s,False,False,False,,PRT
a1e-fragment01_4,8,dining,NN1,dining,False,False,False,,NOUN
a1e-fragment01_4,9,facility,NN2,facilities,False,False,False,,NOUN
a1e-fragment01_4,10,,PUN,.,False,False,False,,.
a1e-fragment01_5,0,the,AT0,The,False,False,False,,DET
a1e-fragment01_5,1,63-year-old,AJ0,63-year-old,False,False,False,,ADJ
a1e-fragment01_5,2,head,NN1,head,True,False,False,,NOUN
a1e-fragment01_5,3,of,PRF,of,False,False,False,,ADP
a1e-fragment01_5,4,pembridge,NP0,Pembridge,False,False,False,,NOUN
a1e-fragment01_5,5,investment,NN2,Investments,False,False,False,,NOUN
a1e-fragment01_5,6,,PUN,",",False,False,False,,.
a1e-fragment01_5,7,through,PRP,through,True,False,False,,ADP
a1e-fragment01_5,8,which,DTQ,which,False,False,False,,DET
a1e-fragment01_5,9,the,AT0,the,False,False,False,,DET
a1e-fragment01_5,10,bid,NN1,bid,False,False,False,,NOUN
a1e-fragment01_5,11,be,VBZ,is,False,False,False,,VERB
a1e-fragment01_5,12,be,VBG,being,False,False,False,,VERB
a1e-fragment01_5,13,mount,VVN-AJ0,mounted,True,False,False,,VVN-AJ0
a1e-fragment01_5,14,say,VVZ,says,False,False,False,,VERB
a1e-fragment01_5,15,,PUN,",",False,False,False,,.
a1e-fragment01_5,16,,PUQ,‘,False,False,False,,.
a1e-fragment01_5,17,rule,NN1-VVB,rule,True,False,False,,NN1-VVB
a1e-fragment01_5,18,number,NN1,number,False,False,False,,NOUN
a1e-fragment01_5,19,one,CRD,one,False,False,False,,NUM
a1e-fragment01_5,20,in,PRP,in,True,False,False,,ADP
a1e-fragment01_5,21,this,DT0,this,True,False,False,,DET
a1e-fragment01_5,22,business,NN1,business,False,False,False,,NOUN
a1e-fragment01_5,23,be,VBZ,is,False,False,False,,VERB
a1e-fragment01_5,24,,PUN,:,False,False,False,,.
a1e-fragment01_5,25,the,AT0,the,False,False,False,,DET
a1e-fragment01_5,26,more,AV0,more,False,False,False,,ADV
a1e-fragment01_5,27,luxurious,AJ0,luxurious,False,False,False,,ADJ
a1e-fragment01_5,28,the,AT0,the,False,False,False,,DET
a1e-fragment01_5,29,luncheon,NN1,luncheon,False,False,False,,NOUN
a1e-fragment01_5,30,room,NN2,rooms,False,False,False,,NOUN
